_id,username,word,emoji,hastag,len_word,len_emoji,len_hastag,len_emotion
5ed04ad3682cbc70de4c52c4,Macaodah1,"medium, cover, black, black, violence, black, white, violence, weaponize, white, existence, medium, care, paraphrase, mike, enoch, never, hear, amplified, black, voice, unless, hold, megaphone","star, of, David",0,24,3,0,9
5ed04ad3682cbc70de4c52c5,Macaodah1,"notice, national, outrage, constant, news, coverage, black, shoot, kill, black, matter, day, memorial, day, weekend, poc, msm, ignore, there, bad, whitey, narrative, use",0,0,23,0,0,10
5ed04ad3682cbc70de4c52c6,Macaodah1,"twitter, tomorrow, there, force, suspend, account",0,0,6,0,0,3
5ed04ad5682cbc70de4c52c8,RichmondTram,"paul, dogma","flexed, biceps",0,2,2,0,1
5ed04ad5682cbc70de4c52c9,RichmondTram,lol,0,0,1,0,0,0
5ed04ad5682cbc70de4c52ca,RichmondTram,"latin, bile",0,0,2,0,0,1
5ed04ad5682cbc70de4c52cb,RichmondTram,"emulate, finish, continue, dey, shave","sleepy, face",0,5,2,0,1
5ed04ad5682cbc70de4c52cc,RichmondTram,"performance, dux, enter, top, couture, nigeria, stream, videos, stream",0,0,9,0,0,1
5ed04ad5682cbc70de4c52cd,RichmondTram,mad,0,0,1,0,0,1
5ed04ad5682cbc70de4c52ce,RichmondTram,cracking,0,0,1,0,0,0
5ed04ad5682cbc70de4c52cf,RichmondTram,"start, dey, settle, thing",0,['#TheMATTER'],4,0,1,1
5ed04ad5682cbc70de4c52d0,RichmondTram,mum,0,0,1,0,0,1
5ed04ad5682cbc70de4c52d1,RichmondTram,shut,0,0,1,0,0,0
5ed04ad6682cbc70de4c52d3,KBloor,"agree, pay, subscription, year, real, appreciation, excellent, ovid, report, analysis, thanks, must, work, sock",0,0,14,0,0,4
5ed04ad6682cbc70de4c52d4,KBloor,"short, list, thing, yet, know",0,['#COVID19'],5,0,1,0
5ed04ad6682cbc70de4c52d5,KBloor,"uri, seem, mission, share, many, funding, call, via, twitter, bank, holiday, know, automate, really, necessary, message, research, culture, send",0,0,19,0,0,3
5ed04ad6682cbc70de4c52d6,KBloor,"herd, impunity",0,0,2,0,0,0
5ed04ad6682cbc70de4c52d7,KBloor,"scholarly, source, think, like, eagle, owl, parent, style, chick, basically, dump, front",0,0,12,0,0,2
5ed04ad6682cbc70de4c52d8,KBloor,"think, mean, people, write, indignantly",0,0,5,0,0,0
5ed04ad6682cbc70de4c52d9,KBloor,"today, muslim, friend, mark, think, appropriate, return, dove, bring, emerald, spot, wood, dove, believe, doves, special, place, islam, pair, dove, help, muhammad, hide, cave",0,"['#EidAlFitr', '#BirdsAtTea', '#ornithology']",24,0,3,7
5ed04ad6682cbc70de4c52da,KBloor,"pandemic, think, would, prefer, senior, advisor, credibility, moral, authority, even, settle, bit, good, solid, british, common, sense",0,0,17,0,0,6
5ed04ad6682cbc70de4c52db,KBloor,"case, anyone, miss, tweet, get, deleted, thought, embroider",0,"['#CivilService', '#truthtwisters']",8,0,2,3
5ed04ad6682cbc70de4c52dc,KBloor,bernard,0,['#CummingsShouldResign'],1,0,1,0
5ed04ad9682cbc70de4c52e9,samy45,"update, ccc, chairwoman, announce, new, round, candidate, red, blue, highly, competitive, battle, test, program, arm, top, tier, candidate, support, help, continue, develop, strong, campaign","police, car, light",['#RedtoBlue'],24,3,1,9
5ed04ad9682cbc70de4c52ea,samy45,"sue, d'orsay, longtime, dem, activist, former, chair, theresa, choice, defeat, joni, ernst",0,['#IASen'],12,0,1,1
5ed04ad9682cbc70de4c52eb,samy45,"harry, reid, cortez, mast, decision, withdraw, consideration, cant, say, enough, admiration, sen, cortez, mast, truly, gifted, leader, always, put, nevada, first, continue, support, however",0,0,24,0,0,5
5ed04ad9682cbc70de4c52ec,samy45,"minnesota, gov, tim, wall, activate, national, guard, wake, protest, george, flood, death",0,0,12,0,0,3
5ed04ad9682cbc70de4c52ed,samy45,"new, george, floyd, death, put, uncomfortable, spotlight, amy, klobuchar, prosecutorial, record, tension, black, community, consider, joe, biden, pick, via, assist",0,0,20,0,0,4
5ed04ad9682cbc70de4c52ee,samy45,"politicized, face, mask, politicize, open, destructive, great, friend, show, princeton, professor, cnn, political, analyst, speak, trump, politicize, save, life",0,0,19,0,0,8
5ed04ad9682cbc70de4c52ef,samy45,"sunday, join, special, american, crisis, poverty, pandemic, examines, economic, disparity, age, ovid, tune, sunday",0,0,14,0,0,7
5ed04ad9682cbc70de4c52f0,samy45,"watch, houston, police, chief, art, acevedo, say, officer, involve, george, flood, kill, charge, base, conversation, colleague, see, face, charge, range, anywhere, murder, manslaughter",0,['#MTPDaily'],23,0,1,9
5ed04ad9682cbc70de4c52f1,samy45,"cortez, mast, withdraws, name, consideration, latino, orcs, lawmaker, form, organized, effort, push, potential, latina, gov, lucan, grisham, still, consider",0,0,19,0,0,0
5ed04ad9682cbc70de4c52f2,samy45,"hennepin, attorney, freeman, video, graphic, horrific, terrible, person, job, end, prove, violate, criminal, statute, evidence, support, criminal, charge, rush, justice",0,0,20,0,0,7
5ed04adb682cbc70de4c52f4,dromedarshop,"check, product, twist, curl, pink, create, diamond, sterling, ring, start, show","heart-eyes, right, with, face, pointing, index, backhand, smiling",0,11,8,0,5
5ed04adb682cbc70de4c52f5,dromedarshop,"need, shop, follow, twitterbuy, product, get, discount, automatic, checkout","stone, gem",0,9,2,0,2
5ed04adb682cbc70de4c52f6,dromedarshop,"check, product, baby, nasal, aspiration, electric, safe, hygienic, nose, cleaner, size, nose, start, show","heart-eyes, right, with, face, pointing, index, backhand, smiling",0,14,8,0,8
5ed04adb682cbc70de4c52f7,dromedarshop,"need, shop, follow, twitterbuy, product, get, discount, automatic, checkout","stone, gem",0,9,2,0,2
5ed04adb682cbc70de4c52f8,dromedarshop,"check, product, big, capacity, waterproof, backpack, start, show","heart-eyes, right, with, face, pointing, index, backhand, smiling",0,8,8,0,3
5ed04adb682cbc70de4c52f9,dromedarshop,"need, shop, follow, twitterbuy, product, get, discount, automatic, checkout","stone, gem",0,9,2,0,2
5ed04adb682cbc70de4c52fa,dromedarshop,"check, product, focallure, color, eye, eyeshadow, palette, start, show","heart-eyes, right, with, face, pointing, index, backhand, smiling",0,9,8,0,2
5ed04adb682cbc70de4c52fb,dromedarshop,"need, shop, follow, twitterbuy, product, get, discount, automatic, checkout","stone, gem",0,9,2,0,2
5ed04adb682cbc70de4c52fc,dromedarshop,"check, product, sleeveless, high, waist, casual, dress, start, show","heart-eyes, right, with, face, pointing, index, backhand, smiling",0,9,8,0,2
5ed04adb682cbc70de4c52fd,dromedarshop,"need, shop, follow, twitterbuy, product, get, discount, automatic, checkout","stone, gem",0,9,2,0,2
5ed04adc682cbc70de4c52ff,ben_tby,"label, wontfix",0,0,2,0,0,1
5ed04adc682cbc70de4c5300,ben_tby,"non, tech, people, ask, describe, job",0,0,6,0,0,0
5ed04adc682cbc70de4c5302,ben_tby,"sweet, money",0,0,2,0,0,2
5ed04adc682cbc70de4c5303,ben_tby,"dom, base, goole, voice, extension",0,0,5,0,0,1
5ed04adc682cbc70de4c5304,ben_tby,thank,0,0,1,0,0,0
5ed04adc682cbc70de4c5305,ben_tby,"complete, specialize, badge",0,0,3,0,0,3
5ed04adc682cbc70de4c5306,ben_tby,"self, promotion, time, test, payment, system, shop, check, wastepaper, write, update, last, year","money, bag","['#bugbountytip', '#pentest', '#Financial']",13,2,3,2
5ed04adc682cbc70de4c5307,ben_tby,"code, leave, editor, create, updating, diagram",0,0,6,0,0,2
5ed04adc682cbc70de4c5308,ben_tby,"placement, official, plate, forme, learn, par, mme, mme, presence, reuter, objectify, est, permeate, aux, tudiants, des, faculty, cole, institute, sure, cours, line",0,"['#MESRS', '#EléonoreLADEKAN', '#MND', '#MaximeDaCruz']",22,0,4,3
5ed04ade682cbc70de4c530a,Terai15679,"give, someone, retreat, tweet, within, next, hour, must, follow, good, luck",0,0,11,0,0,3
5ed04ade682cbc70de4c530b,Terai15679,"give, random, user, retreat, tweet, within, next, minute, must, follow",0,0,10,0,0,1
5ed04ade682cbc70de4c530c,Terai15679,"ill, hook, one, person, retreat, also, follow, end, minute",0,0,9,0,0,2
5ed04ade682cbc70de4c530d,Terai15679,"give, one, person, retreat, tweet, within, next, hour, must, follow, win, turn, notification, make, sure, miss, future, cash, giveaway, text, text, message, giveaway, alert",0,0,24,0,0,6
5ed04ade682cbc70de4c530e,Terai15679,"between, follow, ill, send, one, beautiful, people, minute",0,0,8,0,0,3
5ed04ade682cbc70de4c5310,Terai15679,nice,0,0,1,0,0,0
5ed04ade682cbc70de4c5311,Terai15679,grass,0,0,1,0,0,0
5ed04ade682cbc70de4c5312,Terai15679,"time, buck, get, work",0,0,4,0,0,2
